ID,Movie Title,StoryLine,Rating,Tagline,Budget,Gross,Stars
12,Zombieland: Double Tap (2019) ,"Columbus, Tallahassee, Wichita, and Little Rock move to the American heartland as they face off against evolved zombies, fellow survivors, and the growing pains of the snarky makeshift family.",6.8/10,N/A,"$42,000,000","$122,810,399","Woody Harrelson, Jesse Eisenberg, Emma Stone |
 »"
13,The Perfection (2018) ,"When troubled musical prodigy Charlotte seeks out Elizabeth, the new star pupil of her former school, the encounter sends both musicians down a sinister path with shocking consequences.",6.1/10,It's Time to Face the Music,N/A,N/A,"Alaina Huffman, Allison Williams, Steven Weber |
 »"
14,The Laundromat (2019) ,"A widow investigates an insurance fraud, chasing leads to a pair of Panama City law partners exploiting the world's financial system.",6.3/10,Based on actual secrets,N/A,N/A,"Gary Oldman, Antonio Banderas, AJ Meijer |
 »"
15,John Wick: Chapter 3 - Parabellum (2019) ,"John Wick is on the run after killing a member of the international assassins' guild, and with a $14 million price tag on his head, he is the target of hit men and women everywhere.",7.5/10,"Its the World Vs. Wick                
 See more »","$75,000,000","$326,709,727","Keanu Reeves, Halle Berry, Ian McShane |
 »"
16,Us (2019) ,A family's serene beach vacation turns to chaos when their doppelgängers appear and begin to terrorize them.,6.9/10,"Two Years Ago, Jordan Peele Redefined the Genre with ""Get Out."" On March 22, Discover His New Nightmare.                
 See more »","$20,000,000","$255,184,580","Lupita Nyong'o, Winston Duke, Elisabeth Moss |
 »"
17,Cold Pursuit (2019) ,A grieving snowplow driver seeks out revenge against the drug dealers who killed his son.,6.2/10,"Disappearances can be deceiving.                
 See more »","$60,000,000","$76,419,755","Liam Neeson, Laura Dern, Micheál Richardson |
 »"
18,Fast & Furious Presents: Hobbs & Shaw (2019) ,"Lawman Luke Hobbs (Dwayne ""The Rock"" Johnson) and outcast Deckard Shaw (Jason Statham) form an unlikely alliance when a cyber-genetically enhanced villain threatens the future of humanity.",6.5/10,"""Saving the world is easy, but working together is going to be a real pain in the ass.""                
 See more »","$200,000,000","$759,056,935","Dwayne Johnson, Jason Statham, Idris Elba |
 »"
19,It Chapter Two (2019) ,"Twenty-seven years after their first encounter with the terrifying Pennywise, the Losers Club have grown up and moved away, until a devastating phone call brings them back.",6.6/10,"You'll Float Again                
 See more »","$79,000,000","$473,093,228","Jessica Chastain, James McAvoy, Bill Hader |
 »"
20,Freaks (2018) ,"A bold girl discovers a bizarre, threatening, and mysterious new world beyond her front door after she escapes her father's protective and paranoid control.",6.7/10,They look just like us,N/A,"$335,050","Emile Hirsch, Bruce Dern, Grace Park |
 »"
21,The Irishman (2019) ,"An aging hitman recalls his time with the mob and the intersecting events with his friend, Jimmy Hoffa, through the 1950-70s.",7.9/10,"His story changed history.                
 See more »","$159,000,000","$968,853","Robert De Niro, Al Pacino, Joe Pesci |
 »"
22,Black and Blue (2019) ,A rookie New Orleans police officer is forced to balance her identity as a black woman after she witnesses two corrupt cops committing murder.,6.3/10,The truth made her a target.,"$12,000,000","$22,741,061","Naomie Harris, Tyrese Gibson, Frank Grillo |
 »"
23,Captive State (2019) ,"Set in a Chicago neighborhood nearly a decade after an occupation by an extraterrestrial force, 'Captive State' explores the lives on both sides of the conflict - the collaborators and dissidents.",6.0/10,"The Phoenix Will Rise!                
 See more »","$25,000,000","$8,808,611","John Goodman, Ashton Sanders, Jonathan Majors |
 »"
24,Once Upon a Time... in Hollywood (2019) ,A faded television actor and his stunt double strive to achieve fame and success in the film industry during the final years of Hollywood's Golden Age in 1969 Los Angeles.,7.7/10,The 9th Film from Quentin Tarantino.,"$90,000,000","$374,343,626","Leonardo DiCaprio, Brad Pitt, Margot Robbie |
 »"
25,A Beautiful Day in the Neighborhood (2019) ,Based on the true story of a real-life friendship between Fred Rogers and journalist Lloyd Vogel.,7.3/10,We Could All Use a Little Kindness,"$25,000,000","$67,760,877","Tom Hanks, Matthew Rhys, Chris Cooper |
 »"
26,Rocketman (2019) ,A musical fantasy about the fantastical human story of Elton John's breakthrough years.,7.3/10,"Based on a True Fantasy.                
 See more »","$40,000,000","$195,179,299","Taron Egerton, Jamie Bell, Richard Madden |
 »"
