ID,Movie Title,StoryLine,Rating,Tagline,Budget,Gross
132,The Meyerowitz Stories (2017) ,An estranged family gathers together in New York City for an event celebrating the artistic work of their father.,6.9/10,N/A,N/A,N/A
133,Battle of the Sexes (2017) ,The true story of the 1973 tennis match between World number one Billie Jean King and ex-champ and serial hustler Bobby Riggs.,6.7/10,He made a bet. She made history.,"$25,000,000","$18,598,607"
134,War Machine (2017) ,"An idiosyncratic general confronts opposition from enemies, allies, and bureaucrats while leading a massive rebuilding operation in Afghanistan.",6.0/10,"We're gonna liberate the shit out of you.                
 See more »","$60,000,000",N/A
135,The Beguiled (2017) ,The unexpected arrival of a wounded Union soldier at a girls school in Virginia during the American Civil War leads to jealousy and betrayal.,6.3/10,"Innocent, until betrayed.","$10,500,000","$27,869,129"
136,It (2017) ,"In the summer of 1989, a group of bullied kids band together to destroy a shape-shifting monster, which disguises itself as a clown and preys on the children of Derry, their small Maine town.",7.3/10,"You'll float too.                
 See more »","$35,000,000","$701,796,444"
137,Brad's Status (2017) ,A father takes his son to tour colleges on the East Coast and meets up with an old friend who makes him feel inferior about his life's choices.,6.5/10,The success you've been searching for may be right next to you.,N/A,"$3,816,527"
138,Stronger (2017) ,"Stronger is the inspiring real life story of Jeff Bauman, an ordinary man who captured the hearts of his city and the world to become a symbol of hope after surviving the 2013 Boston Marathon bombing.",6.9/10,"Loss changes us. Tragedy tests us. Strength defines us.                
 See more »","$30,000,000","$8,503,658"
139,Patti Cake$ (2017) ,"PATTI CAKE$ is centered on aspiring rapper Patricia Dombrowski, a.k.a. Killa P, a.k.a. Patti Cake$, who is fighting an unlikely quest for glory in her downtrodden hometown in New Jersey.",6.8/10,N/A,N/A,"$1,482,356"
140,Guardians of the Galaxy Vol. 2 (2017) ,"The Guardians struggle to keep together as a team while dealing with their personal family issues, notably Star-Lord's encounter with his father the ambitious celestial being Ego.",7.6/10,"This summer, the galaxy won't save itself.                
 See more »","$200,000,000","$863,756,051"
141,The Lego Batman Movie (2017) ,"A cooler-than-ever Bruce Wayne must deal with the usual suspects as they plan to rule Gotham City, while discovering that he has accidentally adopted a teenage orphan who wishes to become his sidekick.",7.3/10,"He's Rogue Too                
 See more »","$80,000,000","$311,950,384"
142,Atomic Blonde (2017) ,An undercover MI6 agent is sent to Berlin during the Cold War to investigate the murder of a fellow agent and recover a missing list of double agents.,6.7/10,Talents can be overrated.,"$30,000,000","$100,014,025"
143,Wakefield (2016) ,"Bryan Cranston gives the performance of a lifetime as Howard Wakefield, a lawyer on the edge of madness who has decided to disassociate himself from his own life.",6.3/10,What would your life be like without you?,N/A,"$798,214"
144,Beauty and the Beast (2017) ,"A selfish Prince is cursed to become a monster for the rest of his life, unless he learns to fall in love with a beautiful young woman he keeps prisoner.",7.1/10,"Be our guest.                
 See more »","$160,000,000","$1,263,521,126"
145,Brigsby Bear (2017) ,"After being freed from his life in an underground bunker, a man sets out to make a movie of the only TV show he has ever known.",7.3/10,N/A,N/A,"$681,632"
146,Kong: Skull Island (2017) ,"After the Vietnam war, a team of scientists explores an uncharted island in the Pacific, venturing into the domain of the mighty Kong, and must fight to escape a primal Eden.",6.6/10,"Awaken the King                
 See more »","$185,000,000","$566,652,812"
147,Alien: Covenant (2017) ,"The crew of a colony ship, bound for a remote planet, discover an uncharted paradise with a threat beyond their imagination, and must attempt a harrowing escape.",6.4/10,"The Beginning of a Nightmare.                
 See more »","$97,000,000","$240,891,763"
148,Goodbye Christopher Robin (2017) ,"The relationship between writer AA Milne and his son, Christopher Robin, and how this became the inspiration for Winnie the Pooh.",7.1/10,"From a child's imagination to a worldwide phenomenon.                
 See more »",N/A,"$7,401,949"
149,Victoria & Abdul (2017) ,Queen Victoria strikes up an unlikely friendship with a young Indian clerk named Abdul Karim.,6.8/10,"Based on an extraordinary true story.                
 See more »","$21,000,000","$66,558,465"
150,Suburbicon (2017) ,"As a 1950s suburban community self-destructs, a home invasion has sinister consequences for one seemingly normal family.",5.7/10,"Director George Clooney takes you to the dark side of suburbia...                
 See more »","$25,000,000","$12,751,667"
151,Captain Fantastic (2016) ,"In the forests of the Pacific Northwest, a father devoted to raising his six kids with a rigorous physical and intellectual education is forced to leave his paradise and enter the world, challenging his idea of what it means to be a parent.",7.9/10,"Family values. Power to the people. Stick it to the man.                
 See more »",N/A,"$22,787,526"
152,La La Land (2016) ,"While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future.",8.0/10,Here's to the fools who dream.,"$30,000,000","$446,486,224"
153,Hacksaw Ridge (2016) ,"World War II American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people, and becomes the first man in American history to receive the Medal of Honor without firing a shot.",8.1/10,"Based on the incredible true story.                
 See more »","$40,000,000","$180,450,918"
154,Lion (2016) ,"A five-year-old Indian boy is adopted by an Australian couple after getting lost hundreds of kilometers from home. 25 years later, he sets out to find his lost family.",8.0/10,"The search begins                
 See more »","$12,000,000","$140,312,928"
155,Hell or High Water (2016) ,A divorced father and his ex-con older brother resort to a desperate scheme in order to save their family's ranch in West Texas.,7.6/10,"....not the way it woulda gone little brother.                
 See more »","$12,000,000","$37,879,877"
156,The Witch (2015) ,"A family in 1630s New England is torn apart by the forces of witchcraft, black magic, and possession.",6.9/10,"A New-England Folktale.                
 See more »","$4,000,000","$40,423,945"
157,The Jungle Book (2016) ,"After a threat from the tiger Shere Khan forces him to flee the jungle, a man-cub named Mowgli embarks on a journey of self discovery with the help of panther Bagheera and free-spirited bear Baloo.",7.4/10,The legend will never be the same.,"$175,000,000","$966,550,600"
158,Deadpool (2016) ,"A wisecracking mercenary gets experimented on and becomes immortal but ugly, and sets out to track down the man who ruined his looks.",8.0/10,"Bad ass. Smart ass. Great ass.                
 See more »","$58,000,000","$782,612,155"
159,Moonlight (2016) ,"A young African-American man grapples with his identity and sexuality while experiencing the everyday struggles of childhood, adolescence, and burgeoning adulthood.",7.4/10,This is the story of a lifetime.,"$4,000,000","$65,336,603"
160,Other People (2016) ,"A struggling comedy writer, fresh off a breakup and in the midst of the worst year of his life, returns to Sacramento to care for his dying mother.",6.8/10,N/A,N/A,"$91,441"
161,Zootopia (2016) ,"In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy.",8.0/10,Welcome to the urban jungle.,"$150,000,000","$1,023,784,195"
162,Nocturnal Animals (2016) ,"A wealthy art gallery owner is haunted by her ex-husband's novel, a violent thriller she interprets as a symbolic revenge tale.",7.5/10,When you love someone you can't just throw it away,"$22,500,000","$30,311,857"
163,Train to Busan (2016) ,"While a zombie virus breaks out in South Korea, passengers struggle to survive on the train from Seoul to Busan.",7.5/10,"Life-or-death survival begins                
 See more »","KRW10,000,000,000","$92,688,375"
164,Don't Breathe (2016) ,"Hoping to walk away with a massive fortune, a trio of thieves break into the house of a blind man who isn't as helpless as he seems.",7.1/10,This house looked like an easy target. Until they found what was inside.,"$9,900,000","$157,830,487"
165,Sing Street (2016) ,A boy growing up in Dublin during the 1980s escapes his strained family life by starting a band to impress the mysterious girl he likes.,7.9/10,Boy meets girl. Girl unimpressed. Boy starts band.,N/A,"$13,624,522"
166,Doctor Strange (2016) ,"While on a journey of physical and spiritual healing, a brilliant neurosurgeon is drawn into the world of the mystic arts.",7.5/10,"Open your mind. Change your reality.                
 See more »","$165,000,000","$677,718,395"
167,The Conjuring 2 (2016) ,Ed and Lorraine Warren travel to North London to help a single mother raising 4 children alone in a house plagued by a supernatural spirit.,7.3/10,The next true story from the case files of Ed and Lorraine Warren,"$40,000,000","$320,392,818"
168,The Distinguished Citizen (2016) ,"A recipient of the Nobel Prize for Literature, who has been living in Europe for decades, accepts an invitation to receive a prize. In Argentina he finds both similarities and irreconcilable differences with the people of his hometown.",7.5/10,N/A,N/A,"$4,525,656"
169,Your Name. (2016) ,"Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?",8.4/10,"Experience Japan's #1 film of 2016, from visionary director Makoto Shinkai                
 See more »","JPY370,000,000","$358,922,706"
170,Miss Peregrine's Home for Peculiar Children (2016) ,"When Jacob (Asa Butterfield) discovers clues to a mystery that stretches across time, he finds Miss Peregrine's Home for Peculiar Children. But the danger deepens after he gets to know the residents and learns about their special powers.",6.7/10,"Embrace the peculiar.                
 See more »","$110,000,000","$296,482,446"
171,Eddie the Eagle (2015) ,"The story of Eddie Edwards, the notoriously tenacious British underdog ski jumper who charmed the world at the 1988 Winter Olympics.",7.4/10,"Win or lose, always aim high                
 See more »","$23,000,000","$46,152,800"
172,Elle (2016) ,A successful businesswoman gets caught up in a game of cat and mouse as she tracks down the unknown man who raped her.,7.1/10,"Electrifying... Utterly Gripping!                
 See more »","EUR9,000,000","$12,748,594"
173,Julieta (2016) ,"After a casual encounter, a brokenhearted woman decides to confront her life and the most important events about her stranded daughter.",7.1/10,N/A,"EUR1,350,000","$22,468,044"
174,Manchester by the Sea (2016) ,A depressed uncle is asked to take care of his teenage nephew after the boy's father dies.,7.8/10,"Breathtaking... A truly incredible piece of cinema!                
 See more »","$9,000,000","$78,988,148"
175,10 Cloverfield Lane (2016) ,"After getting in a car accident, a woman is held in a shelter with two men, who claim the outside world is affected by a widespread chemical attack.",7.2/10,"Outside is dangerous... inside is terrifying.                
 See more »","$15,000,000","$110,216,998"
176,Hidden Figures (2016) ,The story of a team of female African-American mathematicians who served a vital role in NASA during the early years of the U.S. space program.,7.8/10,"They wanted a chance to change their lives, but they got a chance to change history.                
 See more »","$25,000,000","$235,956,898"
177,Florence Foster Jenkins (2016) ,"The story of Florence Foster Jenkins, a New York heiress who dreamed of becoming an opera singer, despite having a terrible singing voice.",6.8/10,"Every voice deserves to be heard.                
 See more »","$29,000,000","$49,052,787"
178,The Invisible Guest (2016) ,A successful entrepreneur accused of murder and a witness preparation expert have less than three hours to come up with an impregnable defence.,8.1/10,"Every story has two sides. The truth, only one.","EUR4,000,000","$31,191,910"
179,Deepwater Horizon (2016) ,"A dramatization of the disaster in April 2010, when the offshore drilling rig called the Deepwater Horizon exploded, resulting in the worst oil spill in American history.",7.1/10,"When faced with our darkest hour, hope is not a tactic                
 See more »","$110,000,000","$121,790,373"
180,The Edge of Seventeen (2016) ,"High-school life gets even more unbearable for Nadine when her best friend, Krista, starts dating her older brother.",7.3/10,You're only young once... is it over yet?,"$9,000,000","$19,370,020"
181,The Magnificent Seven (2016) ,Seven gunmen from a variety of backgrounds are brought together by a vengeful young widow to protect her town from the private army of a destructive industrialist.,6.9/10,Justice has a number.,"$90,000,000","$162,360,636"
182,The Shallows (2016) ,"A mere 200 yards from shore, surfer Nancy is attacked by a great white shark, with her short journey to safety becoming the ultimate contest of wills.",6.3/10,"Plan your getaway.                
 See more »","$17,000,000","$119,100,758"
183,X-Men: Apocalypse (2016) ,"In the 1980s the X-Men must defeat an ancient all-powerful mutant, En Sabah Nur, who intends to thrive through bringing destruction to the world.",6.9/10,"Destroy                
 See more »","$178,000,000","$543,934,105"
184,Hush (2016) ,A deaf and mute writer who retreated into the woods to live a solitary life must fight for her life in silence when a masked killer appears at her window.,6.6/10,Silence can be killer.,"$1,000,000",N/A
185,Captain America: Civil War (2016) ,Political involvement in the Avengers' affairs causes a rift between Captain America and Iron Man.,7.8/10,"Whose side are you on?                
 See more »","$250,000,000","$1,153,296,293"
186,¿Qué culpa tiene el niño? (2016) ,"Maru, after becoming pregnant from a drunken one night stand with a immature young unemployed bachelor, is determined to follow tradition and marry him anyways.",6.6/10,N/A,N/A,"$14,490,880"
187,War Dogs (2016) ,"Loosely based on the true story of two young men, David Packouz and Efraim Diveroli, who won a three hundred million dollar contract from the Pentagon to arm America's allies in Afghanistan.",7.1/10,"Hustling their way to the American Dream                
 See more »","$40,000,000","$86,234,523"
188,A Monster Calls (2016) ,A boy seeks the help of a tree monster to cope with his single mother's terminal illness.,7.5/10,"Courage conquers all.                
 See more »","$43,000,000","$47,309,313"
189,"I, Daniel Blake (2016) ","After having suffered a heart-attack, a 59-year-old carpenter must fight the bureaucratic forces of the system in order to receive Employment and Support Allowance.",7.9/10,"Intensely Moving and Utterly Heartbreaking!                
 See more »",N/A,"$15,793,051"
190,Lights Out (2016) ,"Rebecca must unlock the terror behind her little brother's experiences that once tested her sanity, bringing her face to face with a supernatural spirit attached to their mother.",6.3/10,"You were right to be afraid of the dark.                
 See more »","$4,900,000","$148,868,835"
191,The Innocents (2016) ,"1945. Mathilde is a French Red Cross doctor working on a mission to help the French survivors of the German camps. While she works in Poland, she is asked for help by a nun. In her convent, several nuns got pregnant.",7.3/10,"Powerful and moving. Examines every moral crevice of an unthinkable scenario.                
 See more »","EUR6,000,000","$7,400,324"
192,Rogue One: A Star Wars Story (2016) ,The daughter of an Imperial scientist joins the Rebel Alliance in a risky move to steal the Death Star plans.,7.8/10,"A rebellion built on hope.                
 See more »","$200,000,000","$1,056,057,273"
193,13 Hours (2016) ,"During an attack on a U.S. compound in Libya, a security team struggles to make sense out of the chaos.",7.3/10,"In 2012, the threat level in Benghazi, Libya was deemed ""critical"". When everything went wrong, six men had the courage to do what was right.                
 See more »","$50,000,000","$69,411,370"
194,Fantastic Beasts and Where to Find Them (2016) ,The adventures of writer Newt Scamander in New York's secret community of witches and wizards seventy years before Harry Potter reads his book in school.,7.3/10,"Explore a new era of the wizarding world before Harry Potter.                
 See more »","$180,000,000","$814,037,575"
195,The Boy (2016) ,"An American nanny is shocked that her new English family's boy is actually a life-sized doll. After she violates a list of strict rules, disturbing events make her believe that the doll is really alive.",6.0/10,"Every child needs to feel loved.                
 See more »","$10,000,000","$74,136,180"
196,The Nice Guys (2016) ,"In 1970s Los Angeles, a mismatched pair of private eyes investigate a missing girl and the mysterious death of a porn star.",7.4/10,"Nice pair                
 See more »","$50,000,000","$62,788,218"
197,Kubo and the Two Strings (2016) ,A young boy named Kubo must locate a magical suit of armour worn by his late father in order to defeat a vengeful spirit from the past.,7.8/10,"Be bold. Be brave. Be epic                
 See more »","$60,000,000","$76,249,438"
198,Little Men (2016) ,A new pair of best friends have their bond tested by their parents' battle over a dress shop lease.,6.7/10,Be on each other's side.,"$2,000,000","$2,008,649"
199,American Honey (2016) ,"A teenage girl with nothing to lose joins a traveling magazine sales crew, and gets caught up in a whirlwind of hard partying, law bending and young love as she criss-crosses the Midwest with a band of misfits.",7.0/10,"Wild and astonishing! An indelible epic of the open road!                
 See more »",N/A,"$2,290,649"
200,The Founder (2016) ,"The story of Ray Kroc, a salesman who turned two brothers' innovative fast food eatery, McDonald's, into the biggest restaurant business in the world, with a combination of ambition, persistence, and ruthlessness.",7.2/10,"Based on the true story                
 See more »","$25,000,000","$24,121,245"
201,Brooklyn (2015) ,"An Irish immigrant lands in 1950s Brooklyn, where she quickly falls into a romance with a local. When her past catches up with her, however, she must choose between two countries and the lives that exist within.",7.5/10,"Two countries, two loves, one heart.","$11,000,000","$62,076,141"
202,The Big Short (2015) ,In 2006-2007 a group of investors bet against the US mortgage market. In their research they discover how flawed and corrupt the market is.,7.8/10,"Shocking, powerful, unbelievable, and it's true                
 See more »","$28,000,000","$133,440,870"
203,Mad Max: Fury Road (2015) ,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper, and a drifter named Max.",8.1/10,"Only the mad survive.                
 See more »","$150,000,000","$375,209,362"
204,Sicario (2015) ,An idealistic FBI agent is enlisted by a government task force to aid in the escalating war against drugs at the border area between the U.S. and Mexico.,7.6/10,The border is just another line to cross.,"$30,000,000","$84,872,444"
205,When Marnie Was There (2014) ,"Due to 12 y.o. Anna's asthma, she's sent to stay with relatives of her guardian in the Japanese countryside. She likes to be alone, sketching. She befriends Marnie. Who is the mysterious, blonde Marnie.",7.7/10,"Promise we'll remain a secret, forever.",N/A,"$34,949,567"
206,The Martian (2015) ,"An astronaut becomes stranded on Mars after his team assume him dead, and must rely on his ingenuity to find a way to signal to Earth that he is alive.",8.0/10,"Help is only 140 million miles away                
 See more »","$108,000,000","$630,161,890"
207,The Revenant (2015) ,A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.,8.0/10,"(n. One who has returned, as if from the dead.)                
 See more »","$135,000,000","$532,950,503"
208,Anomalisa (2015) ,A man crippled by the mundanity of his life experiences something out of the ordinary.,7.3/10,Welcome to the Kaufman surreal-neorealism tale in a dull world of sameness.,"$8,000,000","$5,659,286"
209,Spotlight (2015) ,"The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core.",8.1/10,"The true story behind the scandal that shook the world.                
 See more »","$20,000,000","$98,690,254"
210,Room (2015) ,"Held captive for 7 years in an enclosed space, a woman and her young son finally gain their freedom, allowing the boy to experience the outside world for the first time.",8.1/10,"Love knows no boundaries                
 See more »","$13,000,000","$35,401,758"
211,Inside Out (2015) ,"After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school.",8.2/10,"Meet the little voices inside your head.                
 See more »","$175,000,000","$857,611,174"
212,Cartel Land (2015) ,Filmmaker Matthew Heineman examines the state of the ongoing drug problem along the U.S.-Mexican border.,7.4/10,N/A,N/A,"$1,145,923"
213,Mission: Impossible - Rogue Nation (2015) ,Ethan and his team take on their most impossible mission yet when they have to eradicate an international rogue organization as highly skilled as they are and committed to destroying the IMF.,7.4/10,"Go rogue                
 See more »","$150,000,000","$682,714,267"
214,Creed (2015) ,"The former World Heavyweight Champion Rocky Balboa serves as a trainer and mentor to Adonis Johnson, the son of his late friend and former rival Apollo Creed.",7.6/10,Your legacy is more than a name,"$35,000,000","$173,567,581"
215,Beasts of No Nation (2015) ,"A drama based on the experiences of Agu, a child soldier fighting in the civil war of an unnamed African country.",7.7/10,Child. Captive. Killer.,"$6,000,000","$90,777"
216,The Hateful Eight (2015) ,"In the dead of a Wyoming winter, a bounty hunter and his prisoner find shelter in a cabin currently inhabited by a collection of nefarious characters.",7.8/10,"No One Comes Up Here Without a Damn Good Reason                
 See more »","$44,000,000","$155,760,117"
217,Mustang (2015) ,"When five orphan girls are seen innocently playing with boys on a beach, their scandalized conservative guardians confine them while forced marriages are arranged.",7.6/10,Their spirit would never be broken,"EUR1,300,000","$5,274,664"
218,The Falling (2014) ,"It's 1969 at a strict English girls' school where charismatic Abbie and intense and troubled Lydia are best friends. After a tragedy occurs at the school, a mysterious fainting epidemic breaks out threatening the stability of all involved.",5.4/10,N/A,"GBP750,000","$569,498"
219,The Final Girls (2015) ,"A young woman grieving the loss of her mother, a famous scream queen from the 1980s, finds herself pulled into the world of her mom's most famous movie. Reunited, the women must fight off the film's maniacal killer.",6.6/10,Who will survive?,"$4,500,000",N/A
220,Mississippi Grind (2015) ,"Down on his luck and facing financial hardship, Gerry teams up with younger charismatic poker player, Curtis, in an attempt to change his luck. The two set off on a road trip through the South with visions of winning back what's been lost.",6.4/10,We can't lose.,"$6,000,000","$422,746"
221,Steve Jobs (2015) ,"Steve Jobs takes us behind the scenes of the digital revolution, to paint a portrait of the man at its epicenter. The story unfolds backstage at three iconic product launches, ending in 1998 with the unveiling of the iMac.",7.2/10,Can a great man be a good man?,"$30,000,000","$34,441,873"
222,Carol (2015) ,An aspiring photographer develops an intimate relationship with an older woman in 1950s New York.,7.2/10,Some people change your life forever,"$11,800,000","$40,272,135"
223,99 Homes (2014) ,A recently unemployed single father struggles to get back his foreclosed home by working for the real estate broker who is the source of his frustration.,7.1/10,"Greed is the only game in town.                
 See more »","$8,000,000","$1,828,232"
224,Man Up (2015) ,"A single woman takes the place of a stranger's blind date, which leads to her finding the perfect boyfriend.",6.8/10,"Right place, wrong date.                
 See more »",N/A,"$6,135,977"
225,Victoria (2015) ,A young Spanish woman who has recently moved to Berlin finds her flirtation with a local guy turn potentially deadly as their night out with his friends reveals a dangerous secret.,7.6/10,One girl. One city. One night. One take.,N/A,"$3,191,971"
226,Southpaw (2015) ,"A champion boxer fights to get his daughter back from child protective services as well as revive his professional career, after a fatal incident sends him on a rampant path of destruction.",7.4/10,"His left is his strongest weapon.                
 See more »","$30,000,000","$91,970,827"
227,Kingsman: The Secret Service (2014) ,"A spy organisation recruits a promising street kid into the agency's training program, while a global threat emerges from a twisted tech genius.",7.7/10,Manners maketh man.,"$81,000,000","$414,351,546"
228,Straight Outta Compton (2015) ,"The rap group NWA emerges from the mean streets of Compton in Los Angeles, California, in the mid-1980s and revolutionizes Hip Hop culture with their music and tales about life in the hood.",7.9/10,"The group that defined a generation becomes a movie of our time.                
 See more »","$28,000,000","$201,634,991"
229,The Stanford Prison Experiment (2015) ,"In 1971, twenty-four male students are selected to take on randomly assigned roles of prisoners and guards in a mock prison situated in the basement of the Stanford psychology building.",6.9/10,They were given 2 weeks. It lasted 6 days.,N/A,"$663,114"
230,Mistress America (2015) ,"A lonely college freshman's life is turned upside-down by her impetuous, adventurous stepsister-to-be.",6.7/10,from strangers to sisters.,N/A,"$3,340,737"
231,Goodnight Mommy (2014) ,"Twin boys move to a new home with their mother after she has face changing cosmetic surgery, but under her bandages is someone the children don't recognize.",6.7/10,A mother should look out for her sons.,N/A,"$2,193,474"
232,Sleeping with Other People (2015) ,"A good-natured womanizer and a serial cheater form a platonic relationship that helps reform them in ways, while a mutual attraction sets in.",6.5/10,a romantic comedy with commitment issues,N/A,"$3,224,947"
233,The Assassin (2015) ,A female assassin receives a dangerous mission to kill a political leader in eighth-century China.,6.3/10,N/A,"$15,000,000","$11,991,669"
234,Star Wars: Episode VII - The Force Awakens (2015) ,"Three decades after the Empire's defeat, a new threat arises in the militant First Order. Defected stormtrooper Finn and the scavenger Rey are caught up in the Resistance's search for the missing Luke Skywalker.",7.9/10,"Every generation has a story.                
 See more »","$245,000,000","$2,068,223,624"
235,Ex Machina (2014) ,A young programmer is selected to participate in a ground-breaking experiment in synthetic intelligence by evaluating the human qualities of a highly advanced humanoid A.I.,7.7/10,"What happens to me if I fail your test?                
 See more »","$15,000,000","$36,869,414"
236,De Palma (2015) ,A documentary about writer and director Brian De Palma.,7.4/10,Being a director is being a watcher,N/A,"$168,045"
237,Avengers: Age of Ultron (2015) ,"When Tony Stark and Bruce Banner try to jump-start a dormant peacekeeping program called Ultron, things go horribly wrong and it's up to Earth's mightiest heroes to stop the villainous Ultron from enacting his terrible plan.",7.3/10,A new age begins,"$250,000,000","$1,402,805,868"
238,Shaun the Sheep Movie (2015) ,"When Shaun decides to take the day off and have some fun, he gets a little more action than he bargained for. A mix up with the Farmer, a caravan and a very steep hill lead them all to the Big City and it's up to Shaun and the flock to return everyone safely to the green grass of home.",7.3/10,"Same sheep. Different turf.                
 See more »","$25,000,000","$106,209,378"
239,Cop Car (2015) ,A small-town sheriff sets out to find the two kids who have taken his car on a joy ride.,6.3/10,"The ride is just getting started.                
 See more »","$800,000","$143,658"
240,Black Mass (2015) ,"The true story of Whitey Bulger, the brother of a state senator and the most infamous violent criminal in the history of South Boston, who became an FBI informant to take down a Mafia family invading his turf.",6.9/10,"Keep your enemies close.                
 See more »","$53,000,000","$99,775,678"
241,Tangerine (2015) ,A hooker tears through Tinseltown on Christmas Eve searching for the pimp who broke her heart.,7.1/10,N/A,"$100,000","$828,874"
242,Clouds of Sils Maria (2014) ,A film star comes face-to-face with an uncomfortable reflection of herself while starring in a revival of the play that launched her career.,6.7/10,N/A,N/A,"$4,728,401"
243,Grandma (2015) ,"A teenager facing an unplanned pregnancy seeks help from her acerbic grandmother, a woman who is long estranged from her daughter.",6.7/10,N/A,"$600,000","$7,205,073"
244,Cinderella (2015) ,"When her father unexpectedly dies, young Ella finds herself at the mercy of her cruel stepmother and her scheming stepsisters. Never one to give up hope, Ella's fortunes begin to change after meeting a dashing stranger.",6.9/10,Midnight is just the beginning.,"$95,000,000","$542,351,353"
245,The Lobster (2015) ,"In a dystopian near future, single people, according to the laws of The City, are taken to The Hotel, where they are obliged to find a romantic partner in forty-five days or are transformed into beasts and sent off into The Woods.",7.2/10,An unconventional love story by Yorgos Lanthimos.,"EUR4,000,000","$15,456,717"
246,What We Do in the Shadows (2014) ,"Viago, Deacon and Vladislav are vampires who are finding that modern life has them struggling with the mundane - like paying rent, keeping up with the chore wheel, trying to get into nightclubs and overcoming flatmate conflicts.",7.7/10,Some interviews with some vampires.,"$1,600,000","$6,979,001"
247,Paddington (2014) ,"A young Peruvian bear travels to London in search of a home. Finding himself lost and alone at Paddington Station, he meets the kindly Brown family, who offer him a temporary haven.",7.2/10,"Please look after this bear. Thank you                
 See more »","$55,000,000","$282,839,394"
248,Bone Tomahawk (2015) ,"In the dying days of the old west, an elderly sheriff and his posse set out to rescue their town's doctor from cannibalistic cave dwellers.",7.1/10,"John Brooder: An armed gentleman                
 See more »","$1,800,000","$382,579"
249,The Man from U.N.C.L.E. (2015) ,"In the early 1960s, CIA agent Napoleon Solo and KGB operative Illya Kuryakin participate in a joint mission against a mysterious criminal organization, which is working to proliferate nuclear weapons.",7.3/10,"A higher class of hero                
 See more »","$75,000,000","$107,045,109"
250,Take Me to the River (2015) ,A Californian teenager's plan to come out at his Nebraskan family reunion gets derailed when a bloodstain on his young cousin's dress makes him the unwitting suspect of abuse.,6.2/10,N/A,N/A,"$28,041"
251,The Duff (2015) ,"A high school senior instigates a social pecking order revolution after finding out that she has been labeled the DUFF - Designated Ugly Fat Friend - by her prettier, more popular counterparts.",6.5/10,"Every duff has their day                
 See more »","$8,500,000","$43,709,744"
